+++++++++++++++++ MAXIMUM GAP LENGTH 50 50
the 1th path length 37
Os10g1452 1452.00 Bdi1g9562 9562.00 1
Os10g1459 1459.00 Bdi1g9570 9570.00 1
Os10g1492 1492.00 Bdi1g9580 9580.00 1
Os10g1500 1500.00 Bdi1g9583 9583.00 1
Os10g1510 1510.00 Bdi1g9591 9591.00 -1
Os10g1511 1511.00 Bdi1g9592 9592.00 1
Os10g1514 1514.00 Bdi1g9602 9602.00 1
Os10g1521 1521.00 Bdi1g9611 9611.00 1
Os10g1525 1525.00 Bdi1g9612 9612.00 1
Os10g1530 1530.00 Bdi1g9613 9613.00 1
Os10g1540 1540.00 Bdi1g9623 9623.00 1
Os10g1542 1542.00 Bdi1g9624 9624.00 1
Os10g1543 1543.00 Bdi1g9625 9625.00 1
Os10g1546 1546.00 Bdi1g9626 9626.00 1
Os10g1548 1548.00 Bdi1g9635 9635.00 1
Os10g1557 1557.00 Bdi1g9645 9645.00 1
Os10g1558 1558.00 Bdi1g9649 9649.00 1
Os10g1559 1559.00 Bdi1g9650 9650.00 1
Os10g1599 1599.00 Bdi1g9665 9665.00 1
Os10g1601 1601.00 Bdi1g9666 9666.00 1
Os10g1616 1616.00 Bdi1g9677 9677.00 1
Os10g1622 1622.00 Bdi1g9681 9681.00 1
Os10g1640 1640.00 Bdi1g9689 9689.00 1
Os10g1641 1641.00 Bdi1g9690 9690.00 1
Os10g1653 1653.00 Bdi1g9699 9699.00 1
Os10g1655 1655.00 Bdi1g9703 9703.00 1
Os10g1660 1660.00 Bdi1g9704 9704.00 -1
Os10g1661 1661.00 Bdi1g9705 9705.00 1
Os10g1664 1664.00 Bdi1g9707 9707.00 1
Os10g1666 1666.00 Bdi1g9708 9708.00 -1
Os10g1667 1667.00 Bdi1g9717 9717.00 1
Os10g1668 1668.00 Bdi1g9718 9718.00 1
Os10g1670 1670.00 Bdi1g9722 9722.00 1
Os10g1688 1688.00 Bdi1g9728 9728.00 1
Os10g1694 1694.00 Bdi1g9729 9729.00 1
Os10g1699 1699.00 Bdi1g9733 9733.00 1
Os10g1701 1701.00 Bdi1g9734 9734.00 1
>LOCALE p-value : 0.00

the 2th path length 26
Os10g1161 1161.00 Bdi1g9339 9339.00 1
Os10g1163 1163.00 Bdi1g9343 9343.00 1
Os10g1170 1170.00 Bdi1g9348 9348.00 1
Os10g1171 1171.00 Bdi1g9352 9352.00 1
Os10g1178 1178.00 Bdi1g9366 9366.00 1
Os10g1193 1193.00 Bdi1g9382 9382.00 1
Os10g1211 1211.00 Bdi1g9400 9400.00 1
Os10g1214 1214.00 Bdi1g9404 9404.00 1
Os10g1215 1215.00 Bdi1g9406 9406.00 1
Os10g1249 1249.00 Bdi1g9438 9438.00 1
Os10g1254 1254.00 Bdi1g9442 9442.00 1
Os10g1257 1257.00 Bdi1g9444 9444.00 1
Os10g1259 1259.00 Bdi1g9447 9447.00 1
Os10g1260 1260.00 Bdi1g9463 9463.00 1
Os10g1267 1267.00 Bdi1g9468 9468.00 1
Os10g1273 1273.00 Bdi1g9477 9477.00 1
Os10g1292 1292.00 Bdi1g9488 9488.00 1
Os10g1297 1297.00 Bdi1g9489 9489.00 1
Os10g1304 1304.00 Bdi1g9495 9495.00 1
Os10g1307 1307.00 Bdi1g9496 9496.00 1
Os10g1322 1322.00 Bdi1g9500 9500.00 1
Os10g1335 1335.00 Bdi1g9521 9521.00 1
Os10g1337 1337.00 Bdi1g9524 9524.00 1
Os10g1338 1338.00 Bdi1g9525 9525.00 1
Os10g1344 1344.00 Bdi1g9535 9535.00 1
Os10g1355 1355.00 Bdi1g9536 9536.00 1
>LOCALE p-value : 0.00

the 3th path length 26
Os10g2219 2219.00 Bdi1g10005 10005.00 1
Os10g2220 2220.00 Bdi1g10006 10006.00 1
Os10g2232 2232.00 Bdi1g10023 10023.00 1
Os10g2234 2234.00 Bdi1g10024 10024.00 1
Os10g2244 2244.00 Bdi1g10027 10027.00 1
Os10g2253 2253.00 Bdi1g10030 10030.00 1
Os10g2256 2256.00 Bdi1g10033 10033.00 1
Os10g2262 2262.00 Bdi1g10039 10039.00 1
Os10g2265 2265.00 Bdi1g10043 10043.00 1
Os10g2269 2269.00 Bdi1g10045 10045.00 -1
Os10g2272 2272.00 Bdi1g10047 10047.00 1
Os10g2273 2273.00 Bdi1g10049 10049.00 1
Os10g2281 2281.00 Bdi1g10051 10051.00 1
Os10g2282 2282.00 Bdi1g10052 10052.00 1
Os10g2283 2283.00 Bdi1g10053 10053.00 1
Os10g2284 2284.00 Bdi1g10055 10055.00 1
Os10g2285 2285.00 Bdi1g10056 10056.00 1
Os10g2286 2286.00 Bdi1g10057 10057.00 1
Os10g2294 2294.00 Bdi1g10059 10059.00 1
Os10g2296 2296.00 Bdi1g10060 10060.00 -1
Os10g2329 2329.00 Bdi1g10067 10067.00 -1
Os10g2346 2346.00 Bdi1g10083 10083.00 -1
Os10g2353 2353.00 Bdi1g10086 10086.00 1
Os10g2361 2361.00 Bdi1g10091 10091.00 1
Os10g2362 2362.00 Bdi1g10092 10092.00 1
Os10g2397 2397.00 Bdi1g10096 10096.00 1
>LOCALE p-value : 0.00

the 4th path length 22
Os10g2076 2076.00 Bdi1g9904 9904.00 -1
Os10g2074 2074.00 Bdi1g9905 9905.00 -1
Os10g2073 2073.00 Bdi1g9911 9911.00 -1
Os10g2071 2071.00 Bdi1g9917 9917.00 -1
Os10g2070 2070.00 Bdi1g9920 9920.00 -1
Os10g2059 2059.00 Bdi1g9926 9926.00 -1
Os10g2058 2058.00 Bdi1g9932 9932.00 -1
Os10g2056 2056.00 Bdi1g9935 9935.00 -1
Os10g2053 2053.00 Bdi1g9936 9936.00 -1
Os10g2050 2050.00 Bdi1g9937 9937.00 -1
Os10g2036 2036.00 Bdi1g9951 9951.00 -1
Os10g2035 2035.00 Bdi1g9953 9953.00 -1
Os10g2027 2027.00 Bdi1g9960 9960.00 1
Os10g2013 2013.00 Bdi1g9969 9969.00 -1
Os10g1990 1990.00 Bdi1g9970 9970.00 -1
Os10g1989 1989.00 Bdi1g9971 9971.00 -1
Os10g1988 1988.00 Bdi1g9972 9972.00 -1
Os10g1946 1946.00 Bdi1g9977 9977.00 -1
Os10g1943 1943.00 Bdi1g9980 9980.00 -1
Os10g1931 1931.00 Bdi1g9982 9982.00 -1
Os10g1926 1926.00 Bdi1g9983 9983.00 -1
Os10g1884 1884.00 Bdi1g9995 9995.00 1
>LOCALE p-value : 0.00

the 5th path length 21
Os10g2128 2128.00 Bdi1g9836 9836.00 1
Os10g2129 2129.00 Bdi1g9839 9839.00 1
Os10g2130 2130.00 Bdi1g9845 9845.00 1
Os10g2133 2133.00 Bdi1g9848 9848.00 1
Os10g2134 2134.00 Bdi1g9849 9849.00 1
Os10g2136 2136.00 Bdi1g9851 9851.00 1
Os10g2138 2138.00 Bdi1g9857 9857.00 1
Os10g2140 2140.00 Bdi1g9860 9860.00 1
Os10g2147 2147.00 Bdi1g9865 9865.00 1
Os10g2148 2148.00 Bdi1g9866 9866.00 1
Os10g2149 2149.00 Bdi1g9867 9867.00 1
Os10g2153 2153.00 Bdi1g9868 9868.00 1
Os10g2154 2154.00 Bdi1g9869 9869.00 1
Os10g2156 2156.00 Bdi1g9874 9874.00 1
Os10g2157 2157.00 Bdi1g9877 9877.00 1
Os10g2158 2158.00 Bdi1g9878 9878.00 1
Os10g2160 2160.00 Bdi1g9889 9889.00 1
Os10g2161 2161.00 Bdi1g9890 9890.00 1
Os10g2162 2162.00 Bdi1g9891 9891.00 1
Os10g2163 2163.00 Bdi1g9892 9892.00 1
Os10g2164 2164.00 Bdi1g9893 9893.00 1
>LOCALE p-value : 0.00

the 6th path length 21
Os10g0932 932.00 Bdi1g5118 5118.00 1
Os10g0933 933.00 Bdi1g5119 5119.00 1
Os10g0937 937.00 Bdi1g5122 5122.00 1
Os10g0940 940.00 Bdi1g5123 5123.00 1
Os10g0941 941.00 Bdi1g5128 5128.00 1
Os10g0942 942.00 Bdi1g5129 5129.00 1
Os10g0946 946.00 Bdi1g5132 5132.00 1
Os10g0947 947.00 Bdi1g5135 5135.00 1
Os10g0949 949.00 Bdi1g5140 5140.00 1
Os10g0950 950.00 Bdi1g5143 5143.00 1
Os10g0954 954.00 Bdi1g5147 5147.00 1
Os10g0955 955.00 Bdi1g5148 5148.00 1
Os10g0956 956.00 Bdi1g5149 5149.00 1
Os10g0957 957.00 Bdi1g5150 5150.00 1
Os10g0958 958.00 Bdi1g5154 5154.00 1
Os10g0959 959.00 Bdi1g5155 5155.00 1
Os10g0960 960.00 Bdi1g5156 5156.00 1
Os10g0961 961.00 Bdi1g5158 5158.00 1
Os10g0962 962.00 Bdi1g5160 5160.00 1
Os10g0965 965.00 Bdi1g5164 5164.00 1
Os10g0966 966.00 Bdi1g5167 5167.00 1
>LOCALE p-value : 0.00

the 7th path length 20
Os10g0150 150.00 Bdi1g8858 8858.00 -1
Os10g0149 149.00 Bdi1g8860 8860.00 -1
Os10g0140 140.00 Bdi1g8864 8864.00 1
Os10g0104 104.00 Bdi1g8871 8871.00 -1
Os10g0103 103.00 Bdi1g8872 8872.00 1
Os10g0102 102.00 Bdi1g8879 8879.00 -1
Os10g0086 86.00 Bdi1g8888 8888.00 -1
Os10g0080 80.00 Bdi1g8889 8889.00 1
Os10g0073 73.00 Bdi1g8894 8894.00 -1
Os10g0069 69.00 Bdi1g8895 8895.00 -1
Os10g0065 65.00 Bdi1g8896 8896.00 -1
Os10g0064 64.00 Bdi1g8898 8898.00 -1
Os10g0063 63.00 Bdi1g8902 8902.00 -1
Os10g0061 61.00 Bdi1g8903 8903.00 -1
Os10g0047 47.00 Bdi1g8909 8909.00 1
Os10g0034 34.00 Bdi1g8913 8913.00 -1
Os10g0032 32.00 Bdi1g8915 8915.00 -1
Os10g0029 29.00 Bdi1g8933 8933.00 -1
Os10g0024 24.00 Bdi1g8941 8941.00 -1
Os10g0003 3.00 Bdi1g8943 8943.00 1
>LOCALE p-value : 0.00

the 8th path length 15
Os10g2228 2228.00 Bdi1g9716 9716.00 -1
Os10g2214 2214.00 Bdi1g9740 9740.00 -1
Os10g2211 2211.00 Bdi1g9752 9752.00 -1
Os10g2209 2209.00 Bdi1g9759 9759.00 -1
Os10g2203 2203.00 Bdi1g9776 9776.00 1
Os10g2202 2202.00 Bdi1g9777 9777.00 -1
Os10g2201 2201.00 Bdi1g9778 9778.00 -1
Os10g2200 2200.00 Bdi1g9780 9780.00 -1
Os10g2199 2199.00 Bdi1g9789 9789.00 -1
Os10g2191 2191.00 Bdi1g9819 9819.00 -1
Os10g2186 2186.00 Bdi1g9822 9822.00 -1
Os10g2185 2185.00 Bdi1g9823 9823.00 -1
Os10g2182 2182.00 Bdi1g9825 9825.00 -1
Os10g2133 2133.00 Bdi1g9848 9848.00 1
Os10g2083 2083.00 Bdi1g9849 9849.00 -1
>LOCALE p-value : 0.00

the 9th path length 14
Os10g0591 591.00 Bdi1g8759 8759.00 -1
Os10g0587 587.00 Bdi1g8770 8770.00 -1
Os10g0578 578.00 Bdi1g8772 8772.00 -1
Os10g0575 575.00 Bdi1g8774 8774.00 -1
Os10g0553 553.00 Bdi1g8776 8776.00 -1
Os10g0514 514.00 Bdi1g8783 8783.00 -1
Os10g0512 512.00 Bdi1g8784 8784.00 -1
Os10g0473 473.00 Bdi1g8790 8790.00 -1
Os10g0450 450.00 Bdi1g8793 8793.00 -1
Os10g0444 444.00 Bdi1g8795 8795.00 1
Os10g0420 420.00 Bdi1g8800 8800.00 -1
Os10g0396 396.00 Bdi1g8807 8807.00 -1
Os10g0367 367.00 Bdi1g8841 8841.00 1
Os10g0317 317.00 Bdi1g8845 8845.00 1
>LOCALE p-value : 0.00

the 10th path length 12
Os10g0222 222.00 Bdi1g8818 8818.00 -1
Os10g0266 266.00 Bdi1g8824 8824.00 1
Os10g0297 297.00 Bdi1g8828 8828.00 1
Os10g0300 300.00 Bdi1g8829 8829.00 1
Os10g0302 302.00 Bdi1g8830 8830.00 -1
Os10g0304 304.00 Bdi1g8831 8831.00 1
Os10g0324 324.00 Bdi1g8836 8836.00 -1
Os10g0325 325.00 Bdi1g8838 8838.00 -1
Os10g0343 343.00 Bdi1g8839 8839.00 -1
Os10g0367 367.00 Bdi1g8841 8841.00 1
Os10g0383 383.00 Bdi1g8845 8845.00 1
Os10g0395 395.00 Bdi1g8847 8847.00 1
>LOCALE p-value : 0.00

the 11th path length 11
>LOCALE p-value : 0.00
overlap with block 2+1th

the 12th path length 11
Os10g0975 975.00 Bdi1g0730 730.00 1
Os10g0966 966.00 Bdi1g0731 731.00 -1
Os10g0954 954.00 Bdi1g0737 737.00 -1
Os10g0953 953.00 Bdi1g0738 738.00 -1
Os10g0952 952.00 Bdi1g0743 743.00 -1
Os10g0951 951.00 Bdi1g0744 744.00 -1
Os10g0949 949.00 Bdi1g0745 745.00 -1
Os10g0947 947.00 Bdi1g0756 756.00 -1
Os10g0946 946.00 Bdi1g0757 757.00 -1
Os10g0932 932.00 Bdi1g0760 760.00 1
Os10g0884 884.00 Bdi1g0761 761.00 -1
>LOCALE p-value : 0.00

the 13th path length 10
Os10g0819 819.00 Bdi1g9121 9121.00 1
Os10g0820 820.00 Bdi1g9122 9122.00 1
Os10g0858 858.00 Bdi1g9136 9136.00 1
Os10g0859 859.00 Bdi1g9141 9141.00 1
Os10g0876 876.00 Bdi1g9147 9147.00 1
Os10g0891 891.00 Bdi1g9158 9158.00 1
Os10g0915 915.00 Bdi1g9177 9177.00 1
Os10g0916 916.00 Bdi1g9179 9179.00 -1
Os10g0917 917.00 Bdi1g9195 9195.00 1
Os10g0961 961.00 Bdi1g9233 9233.00 -1
>LOCALE p-value : 0.00

the 14th path length 7
Os10g2185 2185.00 Bdi1g3828 3828.00 1
Os10g2186 2186.00 Bdi1g3829 3829.00 1
Os10g2203 2203.00 Bdi1g3869 3869.00 -1
Os10g2205 2205.00 Bdi1g3870 3870.00 -1
Os10g2211 2211.00 Bdi1g3881 3881.00 -1
Os10g2213 2213.00 Bdi1g3904 3904.00 1
Os10g2214 2214.00 Bdi1g3905 3905.00 -1
>LOCALE p-value : 0.00

the 15th path length 7
>LOCALE p-value : 0.00
overlap with block 2+1th

the 16th path length 7
Os10g2279 2279.00 Bdi1g3534 3534.00 1
Os10g2258 2258.00 Bdi1g3560 3560.00 -1
Os10g2219 2219.00 Bdi1g3574 3574.00 -1
Os10g2213 2213.00 Bdi1g3599 3599.00 -1
Os10g2200 2200.00 Bdi1g3607 3607.00 1
Os10g2159 2159.00 Bdi1g3643 3643.00 -1
Os10g2119 2119.00 Bdi1g3646 3646.00 1
>LOCALE p-value : 0.00

the 17th path length 6
Os10g0143 143.00 Bdi1g3555 3555.00 -1
Os10g0104 104.00 Bdi1g3574 3574.00 1
Os10g0063 63.00 Bdi1g3579 3579.00 -1
Os10g0061 61.00 Bdi1g3580 3580.00 -1
Os10g0037 37.00 Bdi1g3621 3621.00 -1
Os10g0003 3.00 Bdi1g3637 3637.00 1
>LOCALE p-value : 0.00

the 18th path length 6
Os10g0927 927.00 Bdi1g10020 10020.00 1
Os10g0903 903.00 Bdi1g10045 10045.00 -1
Os10g0900 900.00 Bdi1g10047 10047.00 1
Os10g0899 899.00 Bdi1g10049 10049.00 1
Os10g0898 898.00 Bdi1g10050 10050.00 1
Os10g0851 851.00 Bdi1g10051 10051.00 1
>LOCALE p-value : 0.00

the 19th path length 6
Os10g2098 2098.00 Bdi1g5118 5118.00 -1
Os10g2097 2097.00 Bdi1g5119 5119.00 -1
Os10g2092 2092.00 Bdi1g5122 5122.00 -1
Os10g2089 2089.00 Bdi1g5123 5123.00 -1
Os10g2088 2088.00 Bdi1g5125 5125.00 -1
Os10g2046 2046.00 Bdi1g5127 5127.00 1
